,rating,genre,year,score,votes,budget,gross,runtime,month,continent
0,PG_13,Horror,2005,3.7,35000.0,18000000.0,46201432.0,100.0,October,North_America
1,PG,Animation,2016,6.8,21000.0,30000000.0,106127278.0,89.0,August,Europe
2,PG_13,Comedy,1996,4.4,26000.0,15000000.0,13427615.0,88.0,January,North_America
3,R,Crime,1993,6.4,24000.0,20000000.0,46405336.0,107.0,October,North_America
4,PG_13,Action,2019,6.0,162000.0,170000000.0,386600138.0,132.0,May,North_America
5,PG,Drama,1989,6.4,29000.0,31000000.0,74134790.0,122.0,December,North_America
6,R,Horror,2011,6.2,124000.0,38000000.0,31505287.0,103.0,October,North_America
7,R,Drama,1990,5.5,3600.0,11500000.0,334748.0,85.0,November,North_America
8,R,Horror,1990,5.1,15000.0,2000000.0,5765562.0,85.0,January,North_America
9,PG_13,Action,2017,5.9,104000.0,100000000.0,142337240.0,124.0,March,North_America
10,R,Animation,2016,6.1,181000.0,19000000.0,140705322.0,89.0,August,North_America
11,PG,Comedy,1992,5.8,38000.0,7000000.0,40693477.0,88.0,May,North_America
12,R,Biography,2010,7.2,43000.0,12500000.0,11104555.0,107.0,November,Europe
13,R,Comedy,1984,7.9,132000.0,2500000.0,4736202.0,82.0,March,North_America
14,PG,Adventure,2006,5.5,8000.0,15000000.0,8224998.0,91.0,May,North_America
15,R,Drama,2012,7.3,334000.0,31000000.0,161772375.0,138.0,November,North_America
16,R,Action,2002,6.2,23000.0,30000000.0,13414416.0,106.0,September,North_America
17,PG,Drama,1982,7.1,20000.0,13000000.0,10278575.0,115.0,February,Oceania
18,R,Comedy,1987,7.6,128000.0,30000000.0,49530280.0,93.0,November,North_America
19,R,Drama,2005,7.1,156000.0,950000.0,7022209.0,104.0,April,North_America
20,PG_13,Comedy,1993,6.6,5300.0,9000000.0,14904910.0,97.0,April,North_America
21,R,Drama,1986,7.2,15000.0,10500000.0,31853080.0,119.0,October,North_America
22,R,Crime,2007,5.9,33000.0,8000000.0,7766240.0,98.0,November,North_America
23,R,Comedy,1994,6.4,1000.0,10500000.0,123509.0,99.0,September,North_America
24,R,Crime,1992,6.8,15000.0,15000000.0,22660758.0,119.0,April,North_America
25,R,Drama,2019,6.4,8000.0,5000000.0,5288011.0,103.0,August,North_America
26,R,Comedy,2000,6.6,5300.0,250000.0,1182065.0,96.0,August,North_America
27,R,Horror,2013,5.7,209000.0,3000000.0,89328627.0,85.0,June,North_America
28,PG_13,Comedy,1988,5.9,12000.0,20000000.0,16031707.0,106.0,February,North_America
29,R,Adventure,1989,4.6,35000.0,5000000.0,14343976.0,100.0,July,North_America
30,R,Action,2010,6.8,133000.0,100000000.0,154711438.0,115.0,March,Europe
31,PG_13,Comedy,2003,5.5,69000.0,18000000.0,101564935.0,95.0,January,North_America
32,PG_13,Comedy,1999,6.8,15000.0,14000000.0,18542974.0,97.0,June,Europe
33,PG,Adventure,2008,6.0,90000.0,80000000.0,212874864.0,99.0,December,North_America
34,PG_13,Crime,1996,6.1,8500.0,35000000.0,8797839.0,108.0,February,North_America
35,R,Drama,1991,7.0,53000.0,2500000.0,6401336.0,104.0,July,North_America
36,R,Action,2015,6.6,105000.0,50000000.0,71561644.0,114.0,March,North_America
37,R,Drama,2019,7.1,232000.0,9000000.0,47967636.0,148.0,July,North_America
38,R,Drama,2008,7.6,234000.0,32000000.0,108902486.0,124.0,January,Europe
39,R,Crime,2003,7.2,88000.0,3000000.0,10012022.0,81.0,November,North_America
40,R,Crime,2001,6.4,14000.0,16000000.0,29381649.0,130.0,June,North_America
41,PG_13,Comedy,2004,6.1,141000.0,60000000.0,170268750.0,101.0,March,North_America
42,R,Drama,1988,6.1,3500.0,12000000.0,15855828.0,91.0,March,North_America
43,PG,Comedy,2005,5.5,29000.0,10000000.0,19770475.0,100.0,June,North_America
44,R,Horror,2019,5.3,43000.0,9000000.0,123133739.0,93.0,April,North_America
45,R,Action,2005,6.7,21000.0,80000000.0,10777375.0,132.0,August,North_America
46,R,Action,2003,6.1,45000.0,55000000.0,46061847.0,94.0,March,North_America
47,R,Drama,1987,6.2,2000.0,7500000.0,796368.0,97.0,October,North_America
48,R,Crime,2013,6.9,46000.0,4000000.0,2431443.0,117.0,April,North_America
49,PG_13,Comedy,1998,4.7,7200.0,18000000.0,3572443.0,100.0,April,North_America
50,PG,Drama,1982,6.8,179000.0,17000000.0,125052686.0,99.0,May,North_America
51,R,Action,1988,6.9,57000.0,13000000.0,45661556.0,107.0,August,North_America
52,PG_13,Comedy,1995,6.3,11000.0,10000000.0,41200020.0,117.0,October,North_America
53,PG,Adventure,2010,6.6,13000.0,2000000.0,1205257.0,104.0,April,North_America
54,R,Action,2014,7.4,565000.0,20000000.0,86081711.0,101.0,October,North_America
55,PG_13,Action,1984,6.5,132000.0,40000000.0,30925690.0,137.0,December,North_America
56,PG_13,Action,2012,5.8,240000.0,209000000.0,303025485.0,131.0,May,North_America
57,R,Action,2019,6.9,121000.0,6000000.0,57615777.0,95.0,August,North_America
58,PG_13,Adventure,2012,5.4,14000.0,14000000.0,11417362.0,86.0,October,North_America
59,R,Crime,2017,7.7,217000.0,11000000.0,43980821.0,107.0,August,Europe
60,PG,Animation,1983,6.6,10000.0,1200000.0,760883.0,81.0,August,North_America
61,R,Comedy,2015,7.0,93000.0,10000000.0,4366460.0,101.0,April,North_America
62,R,Action,2017,7.5,385000.0,40000000.0,171547802.0,122.0,February,North_America
63,R,Comedy,1993,5.2,4100.0,6000000.0,12974636.0,87.0,November,North_America
64,PG,Comedy,2017,6.3,2000.0,2000000.0,2308355.0,91.0,January,North_America
65,PG_13,Biography,2018,5.3,30000.0,30000000.0,57076286.0,94.0,February,North_America
66,PG_13,Drama,1992,7.2,9500.0,18000000.0,2827107.0,127.0,March,Oceania
67,R,Drama,2011,7.2,172000.0,7400000.0,17039814.0,135.0,May,Europe
68,PG,Comedy,2004,1.9,30000.0,20000000.0,9448644.0,88.0,August,Europe
69,PG_13,Action,1989,8.2,707000.0,48000000.0,474171806.0,127.0,May,North_America
70,R,Action,2010,7.6,535000.0,30000000.0,96188903.0,117.0,April,Europe
71,PG,Action,1984,6.8,39000.0,15000000.0,28733290.0,101.0,July,North_America
72,PG_13,Comedy,1999,6.6,34000.0,15000000.0,10571408.0,97.0,July,Europe
73,R,Comedy,2011,6.3,52000.0,23000000.0,7550073.0,97.0,March,North_America
74,PG_13,Comedy,2001,5.7,55000.0,46000000.0,138307673.0,102.0,July,North_America
75,Not_Rated,Fantasy,2008,6.6,30000.0,1500000.0,32118.0,93.0,September,North_America
76,R,Drama,1993,7.0,2500.0,800000.0,1001437.0,114.0,November,North_America
77,PG,Comedy,1982,3.9,653.0,19000000.0,2279543.0,110.0,September,North_America
78,R,Action,1988,7.3,117000.0,4000000.0,13008928.0,94.0,November,North_America
79,R,Action,2013,6.1,36000.0,25000000.0,5464885.0,105.0,July,North_America
80,R,Comedy,1984,6.1,4000.0,9000000.0,27774237.0,107.0,October,North_America
